authors,year,title,venue,doi,url,peer_reviewed,topic_cluster,claim_supported,relation_to_project,difference_from_project
"Pecora, L.M.; Carroll, T.L.",1998,Master Stability Functions for Synchronized Coupled Systems,"Physical Review Letters 80, 2109",10.1103/PhysRevLett.80.2109,https://doi.org/10.1103/PhysRevLett.80.2109,yes,1-MSF,Transverse stability of a network's synchronous state factorizes into an MSF at the Laplacian eigenvalues.,The exact tool the seed paper uses; anchors our transverse-stability metrics.,"We apply the idea to time-varying (switched) coupling and to a financial basis system, not a fixed graph."
"Pecora, L.M.; Carroll, T.L.",1990,Synchronization in chaotic systems,"Physical Review Letters 64, 821",10.1103/PhysRevLett.64.821,https://doi.org/10.1103/PhysRevLett.64.821,yes,1-MSF,Coupled chaotic systems synchronize when transverse (conditional) Lyapunov exponents are negative.,Establishes the Lyapunov criterion underlying our G0 chaos check and transverse exponents.,"We study switched, sparse coupling and its finite-time analogue, not static bidirectional coupling."
"Barahona, M.; Pecora, L.M.",2002,Synchronization in Small-World Systems,"Physical Review Letters 89, 054101",10.1103/PhysRevLett.89.054101,https://doi.org/10.1103/PhysRevLett.89.054101,yes,1-MSF,"Synchronizability is governed by the Laplacian eigenratio, improved by shortcuts.",Motivates why sparse-but-rewired topologies can synchronize.,"We test whether temporal redistribution (not structural shortcuts) explains contraction, and demote lambda-ratio metrics."
"Huang, L.; Chen, Q.; Lai, Y.-C.; Pecora, L.M.",2009,Generic behavior of master-stability functions in coupled nonlinear dynamical systems,"Physical Review E 80, 036204",10.1103/PhysRevE.80.036204,https://doi.org/10.1103/PhysRevE.80.036204,yes,1-MSF,Classifies generic MSF shapes (unbounded vs bounded stable window).,Tells us which coupling regimes admit a bounded stable window.,We do not assume a specific MSF class; we compute transverse exponents numerically for switched coupling.
"Arenas, A.; Diaz-Guilera, A.; Kurths, J.; Moreno, Y.; Zhou, C.",2008,Synchronization in complex networks,"Physics Reports 469, 93",10.1016/j.physrep.2008.09.002,https://doi.org/10.1016/j.physrep.2008.09.002,yes,1-MSF,Review linking topology spectra to synchronizability.,Background mapping topology to synchronizability.,A review of static networks; we focus on temporal order and identifiability from data.
"Belykh, I.V.; Belykh, V.N.; Hasler, M.",2004,Blinking model and synchronization in small-world networks with a time-varying coupling,"Physica D 195, 188",10.1016/j.physd.2004.03.013,https://doi.org/10.1016/j.physd.2004.03.013,yes,2-FastSwitch,Fast on/off (blinking) links synchronize as if coupled by the time-averaged topology.,Core theory explaining why fast switching approaches the average graph (our G1/G2 finding).,We quantify the finite-rate gap to the average graph and ask if it is identifiable in markets.
"Stilwell, D.J.; Bollt, E.M.; Roberson, D.G.",2006,Sufficient Conditions for Fast Switching Synchronization in Time-Varying Network Topologies,"SIAM J. Applied Dynamical Systems 5, 140",10.1137/050625229,https://doi.org/10.1137/050625229,yes,2-FastSwitch,"If the time-averaged network synchronizes, fast switching guarantees synchronization.",The averaging theorem behind 'faster switching -> synchronization'.,"Our surrogate shows switching never BEATS the average graph, consistent with this; we test identifiability, which they do not."
"Hasler, M.; Belykh, V.; Belykh, I.",2013,Dynamics of Stochastically Blinking Systems. Part I: Finite Time Properties,"SIAM J. Applied Dynamical Systems 12, 1007",10.1137/120893409,https://doi.org/10.1137/120893409,yes,2-FastSwitch,Quantifies finite-time deviations of a blinking system from its averaged system.,Bounds how far finite-rate switching departs from the average (our finite-rate gap).,"We measure this gap empirically and in a financial basis system, not the general theory."
"Porfiri, M.; Stilwell, D.J.; Bollt, E.M.; Skufca, J.D.",2006,Random talk: Random walk and synchronizability in a moving neighborhood network,"Physica D 224, 102",10.1016/j.physd.2006.09.016,https://doi.org/10.1016/j.physd.2006.09.016,yes,2-FastSwitch,Time-varying neighborhoods synchronize under fast-switching averaging.,Extends averaging to proximity-driven time-varying links.,"Our links are arbitrage channels on mirror assets, and we address estimation from observations."
"Frasca, M.; Buscarino, A.; Rizzo, A.; Fortuna, L.; Boccaletti, S.",2008,Synchronization of Moving Chaotic Agents,"Physical Review Letters 100, 044102",10.1103/PhysRevLett.100.044102,https://doi.org/10.1103/PhysRevLett.100.044102,yes,2-FastSwitch,Mobile agents synchronize when they move fast relative to intrinsic dynamics.,Confirms the timescale-separation principle we rely on.,We map 'fast' to channel-rotation rate and test whether order matters beyond rate.
